,Condominium Name,Location,Facilities,Financial Value,Service and Management,Environment
348,One Saint Michael's,0.499372572,0,0.333820038,-0.975101848,0.999686241
349,Marina Collection,0.920396188,-0.728868723,0.473392394,0.343259742,0.999687076
350,Kellett Court,0.993616536,0,0.292206786,-0.963344425,0
351,Glentrees,0.998017043,0,0.250588953,-0.963344425,0
352,Casa Cambio,0.998017043,0,0.250588953,-0.325971544,0
353,Lorong 40 Geylang,0.777715743,0,0.999664783,-0.963344425,0
354,Beverly Hill,0.999179435,0,0.275358833,-0.963344425,0
355,Hume Park II,0.998017043,0,0.250588953,-0.963344425,0
356,Ardmore II,0.999362147,0,0.275358833,-0.963344425,0
357,Casuarina Cove,0.998640954,0,0.536380831,0.213495302,0.333594143
358,Meadows @ Peirce,0.76137235,-0.331439704,0.56939991,0.211920714,-0.000910789
359,Parc Palais,0.663712495,0.999049246,0.51135515,-0.309006393,0
360,Urban Resort Condominium,0.547118891,0.333170633,0.590676723,-0.963344425,0
361,Lloyd Road,0.738959102,-0.86122489,0.472818235,0.634820272,0.999684691
362,Butterworth 8,0.85888746,0,0.03804033,0.017942116,0
363,Tampines Central 7,0.320042143,-0.99872154,0.227716959,-0.309041023,0.000546128
