,Condominium Name,Location,Facilities,Financial Value,Service and Management,Environment
177,The Foresta @ Mount Faber,0.608293248,0.99968032,0.452400232,0.009091265,0.555700514
178,Eastpoint Green,0,0,0,0,0
179,City Square Residences,0.45437201,0.929547414,0.218827446,0.258449063,0.902977069
180,Botannia,0.766702589,0.998198271,0.536849716,0.012107521,0.999684155
181,Eco Sanctuary,0.467450557,0.603455842,0.541308975,0.08995115,0.506906426
182,The Ladyhill,0.607158107,0.499174088,0.514976532,0.343655725,0.429414392
183,Ridgewood,0.67589244,0.999682665,0.482216795,0.17189778,0.99967885
184,Avila Gardens,0,0,0,0,0
185,Goldenhill Park Condominium,0,0,0,0,0
186,The Sound,0,0,0,0,0
187,OUE Twin Peaks,0.755397841,0.527520109,0.645312752,0.635064431,0.845595313
188,Eight Courtyards,0.750645762,0.860084265,0.139771731,0.590490824,0.71048075
189,Versilia On Haig,0,0,0,0,0
190,Far Horizon Garden,0.997535566,0.997532487,0.32641361,-0.485520974,0.999680758
191,Echelon,0,0,0,0,0
192,Westwood Residences,0.789989981,0.495824615,0.687707626,0.424285991,0.964509904
193,Waterfall Gardens,0,0,0,0,0
194,Soleil @ Sinaran,0,0,0,0,0
195,Westpoint Condominium,0,0,0,0,0
196,Guilin View,0,0,0,0,0
197,Seastrand,0,0,0,0,0
198,The Berth By The Cove,0,0,0,0,0
199,The Sea View,0,0,0,0,0
200,Haig Court,0.868421708,-0.225361049,0.37336072,0.337844094,0.333240191
201,Southaven I,0.816160358,0.996781975,0.697409749,-0.308999836,0.985286315
202,Azalea Park Condominium,0,0,0,0,0
203,Nouvel 18,0.78200178,0.899298509,0.601896545,0.471619835,0.663225591
204,One Devonshire,0.742898378,0.200367594,0.385937019,-0.393125629,-0.548800521
205,Duchess Manor,0,0,0,0,0
206,The Nautical,0.35496752,0.384324188,0.248851442,0.15266854,0.334164075
207,The Seawind,0.805223921,0.799297416,0.738818031,0.187849542,0.750121795
